Year,Total Income,Total Taxes,Total Mandatory Expenses,Leftover,Naive Discretionary
2024,140000.00,32000.00,70000.00,38000.00,38000.00
2025,144200.00,32960.00,74200.00,37040.00,37040.00
2026,148526.00,33948.80,78652.00,35925.20,35925.20
2027,152981.78,34967.26,83371.12,34643.40,34643.40
2028,157571.23,36016.29,88373.39,33181.55,33181.55
2029,162298.37,37096.77,93675.79,31525.81,31525.81
2030,167167.32,38209.68,99296.34,29661.30,29661.30
2031,172182.34,39355.97,105254.12,27572.25,27572.25
2032,177347.81,40536.64,111569.37,25241.80,25241.80
2033,182668.25,41752.75,118263.53,22651.97,22651.97
2034,188148.30,43005.33,125359.34,19783.63,19783.63
